Comment,Designator,Footprint,LCSC
crystal_arduino,Y11,crystal_arduino,C13738
100nF,"C12,C30",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
ATmega328-A,U13,TQFP-32_7x7mm_P0.8mm,C14877
100uF,C31,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
12pF,"C13,C14",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1547
1uF,"C501,C502",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
330nF,C29,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1615
10k,"R301,R302,R303",R_0402_1005Metric,C17414
LED,D11,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296
4k7,"R601,R602",R_0603_1608Metric,C23162
10k,"R11,R13",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
24LC256,U12,SOIC-8_3.9x4.9mm_P1.27mm,C2987263
SW_SPST,SW11,SW_SPST_SKQG_WithStem,C318884
6k2,R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4260
XC6206PxxxMR,U501,SOT-23,C5446
MAX485E,U11,SOIC-8_3.9x4.9mm_P1.27mm,C668206
L78L05_SOT89,U26,SOT-89-3,C71136
Conn_01x10_Male,J401,castellated_2.54mm_01x10,
100n,C11,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_01x10_Male,J403,castellated_2.54mm_01x10,
HEADER_3x2,U14,PinSocket_2x03_P1.27mm_Vertical,
Conn_01x05_Male,J12,castellated_2.54mm_01x06,
Conn_01x05_Male,J11,castellated_2.54mm_01x06,
