Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C11,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,148.2344,-104.5961,-90.0,top
C12,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,150.241,-91.948,180.0,top
C13,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,158.928,-105.871,-90.0,top
C14,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,164.211,-105.41,90.0,top
C29,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,142.1892,-91.8972,180.0,top
C30,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,146.201571,-97.965365,180.0,top
C31,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,145.564071,-99.965365,180.0,top
C501,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.75,-102.3712,180.0,top
C502,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.7489,-107.8068,0.0,top
D11,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,168.5544,-94.8436,0.0,top
J11,Conn_01x05_Male,castellated_2.54mm_01x06,139.7254,-100.203,-90.0,top
J12,Conn_01x05_Male,castellated_2.54mm_01x06,175.26,-102.743,90.0,top
J401,Conn_01x10_Male,castellated_2.54mm_01x10,157.48,-111.633,0.0,top
J403,Conn_01x10_Male,castellated_2.54mm_01x10,157.48,-88.773,180.0,top
R11,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,167.8553,-98.9584,180.0,top
R12,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,168.3258,-96.8248,0.0,top
R13,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,170.3953,-98.9584,0.0,top
R301,10k,R_0402_1005Metric,156.083,-105.791,180.0,top
R302,10k,R_0402_1005Metric,156.083,-106.807,180.0,top
R303,10k,R_0402_1005Metric,156.083,-104.775,180.0,top
R601,4k7,R_0603_1608Metric,154.5336,-91.9988,180.0,top
R602,4k7,R_0603_1608Metric,143.51,-89.8652,0.0,top
SW11,SW_SPST,SW_SPST_SKQG_WithStem,169.545,-103.9876,-90.0,top
U11,MAX485E,SOIC-8_3.9x4.9mm_P1.27mm,151.892,-104.8258,90.0,top
U12,24LC256,SOIC-8_3.9x4.9mm_P1.27mm,151.5872,-96.52,90.0,top
U13,ATmega328-A,TQFP-32_7x7mm_P0.8mm,160.534,-98.2644,90.0,top
U14,HEADER_3x2,PinSocket_2x03_P1.27mm_Vertical,173.234,-90.373,0.0,top
U26,L78L05_SOT89,SOT-89-3,145.564071,-94.465365,180.0,top
U501,XC6206PxxxMR,SOT-23,145.0525,-105.1246,0.0,top
Y11,crystal_arduino,crystal_arduino,161.678,-105.444,0.0,top
